ぜんこくNo.,名前,名前(フォルム),英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,とくせい1,とくせい2,夢特性
83,カモネギ,カモネギ(ガラルのすがた),Farfetch'd,かくとう,,52,95,55,58,62,55,ふくつのこころ,,*きもったま
865,ネギガナイト,ネギガナイト,Sirfetch'd,かくとう,,62,135,95,68,82,65,ふくつのこころ,,*きもったま
170,チョンチー,チョンチー,Chinchou,みず,でんき,75,38,38,56,56,67,ちくでん,はっこう,*ちょすい
171,ランターン,ランターン,Lanturn,みず,でんき,125,58,58,76,76,67,ちくでん,はっこう,*ちょすい
453,グレッグル,グレッグル,Croagunk,どく,かくとう,48,61,40,61,40,50,きけんよち,かんそうはだ,*どくしゅ
454,ドクロッグ,ドクロッグ,Toxicroak,どく,かくとう,83,106,65,86,65,85,きけんよち,かんそうはだ,*どくしゅ
559,ズルッグ,ズルッグ,Scraggy,あく,かくとう,50,75,70,35,70,48,だっぴ,じしんかじょう,*いかく
560,ズルズキン,ズルズキン,Scrafty,あく,かくとう,65,90,115,45,115,58,だっぴ,じしんかじょう,*いかく
618,マッギョ,マッギョ(通常),Stunfisk,じめん,でんき,109,66,84,81,99,32,せいでんき,じゅうなん,*すながくれ
618,マッギョ,マッギョ(ガラルのすがた),Stunfisk,じめん,はがね,109,81,99,66,84,32,ぎたい,,
213,ツボツボ,ツボツボ,Shuckle,むし,いわ,20,10,230,10,230,5,がんじょう,くいしんぼう,*あまのじゃく
339,ドジョッチ,ドジョッチ,Barboach,みず,じめん,50,48,43,46,41,60,どんかん,きけんよち,*うるおいボディ
340,ナマズン,ナマズン,Whiscash,みず,じめん,110,78,73,76,71,60,どんかん,きけんよち,*うるおいボディ
422,カラナクシ,カラナクシ,Shellos,みず,,76,48,48,57,62,34,ねんちゃく,よびみず,*すなのちから
423,トリトドン,トリトドン,Gastrodon,みず,じめん,111,83,68,92,82,39,ねんちゃく,よびみず,*すなのちから
767,コソクムシ,コソクムシ,Wimpod,むし,みず,25,35,40,20,30,80,にげごし,,
768,グソクムシャ,グソクムシャ,Golisopod,むし,みず,75,125,140,60,90,40,ききかいひ,,
688,カメテテ,カメテテ,Binacle,いわ,みず,42,52,67,39,56,50,かたいツメ,スナイパー,*わるいてぐせ
689,ガメノデス,ガメノデス,Barbaracle,いわ,みず,72,105,115,54,86,68,かたいツメ,スナイパー,*わるいてぐせ
222,サニーゴ,サニーゴ(通常),Corsola,みず,いわ,65,55,95,65,95,35,はりきり,しぜんかいふく,*さいせいりょく
222,サニーゴ,サニーゴ(ガラルのすがた),Corsola,ゴースト,,60,55,100,65,100,30,くだけるよろい,,*のろわれボディ
864,サニゴーン,サニゴーン,Cursola,ゴースト,,60,95,50,145,130,30,くだけるよろい,,*ほろびのボディ
859,ベロバー,ベロバー,Impidimp,あく,フェアリー,45,45,30,55,40,50,いたずらごころ,おみとおし,*わるいてぐせ
860,ギモー,ギモー,Morgrem,あく,フェアリー,65,60,45,75,55,70,いたずらごころ,おみとおし,*わるいてぐせ
861,オーロンゲ,オーロンゲ,Grimmsnarl,あく,フェアリー,95,120,65,95,75,60,いたずらごころ,おみとおし,*わるいてぐせ
856,ミブリム,ミブリム,Hatenna,エスパー,,42,30,45,56,53,39,いやしのこころ,きけんよち,*マジックミラー
857,テブリム,テブリム,Hattrem,エスパー,,57,40,65,86,73,49,いやしのこころ,きけんよち,*マジックミラー
858,ブリムオン,ブリムオン,Hatterene,エスパー,フェアリー,57,90,95,136,103,29,いやしのこころ,きけんよち,*マジックミラー
757,ヤトウモリ,ヤトウモリ,Salandit,どく,ほのお,48,44,40,71,40,77,ふしょく,,*どんかん
758,エンニュート,エンニュート,Salazzle,どく,ほのお,68,64,60,111,60,117,ふしょく,,*どんかん
624,コマタナ,コマタナ,Pawniard,あく,はがね,45,85,70,40,40,60,まけんき,せいしんりょく,*プレッシャー
625,キリキザン,キリキザン,Bisharp,あく,はがね,65,125,100,60,70,70,まけんき,せいしんりょく,*プレッシャー
538,ナゲキ,ナゲキ,Throh,かくとう,,120,100,85,30,85,45,こんじょう,せいしんりょく,*かたやぶり
539,ダゲキ,ダゲキ,Sawk,かくとう,,75,125,75,30,75,85,がんじょう,せいしんりょく,*かたやぶり
109,ドガース,ドガース,Koffing,どく,,40,65,95,60,45,35,ふゆう,かがくへんかガス,*あくしゅう
110,マタドガス,マタドガス(通常),Weezing,どく,,65,90,120,85,70,60,ふゆう,かがくへんかガス,*あくしゅう
110,マタドガス,マタドガス(ガラルのすがた),Weezing,どく,フェアリー,65,90,120,85,70,60,ふゆう,かがくへんかガス,*ミストメイカー
438,ウソハチ,ウソハチ,Bonsly,いわ,,50,80,95,10,45,10,がんじょう,いしあたま,*びびり
185,ウソッキー,ウソッキー,Sudowoodo,いわ,,70,100,115,30,65,30,がんじょう,いしあたま,*びびり
173,ピィ,ピィ,Cleffa,フェアリー,,50,25,28,45,55,15,メロメロボディ,マジックガード,*フレンドガード
35,ピッピ,ピッピ,Clefairy,フェアリー,,70,45,48,60,65,35,メロメロボディ,マジックガード,*フレンドガード
36,ピクシー,ピクシー,Clefable,フェアリー,,95,70,73,95,90,60,メロメロボディ,マジックガード,*てんねん
175,トゲピー,トゲピー,Togepi,フェアリー,,35,20,65,40,65,20,はりきり,てんのめぐみ,*きょううん
176,トゲチック,トゲチック,Togetic,フェアリー,ひこう,55,40,85,80,105,40,はりきり,てんのめぐみ,*きょううん
468,トゲキッス,トゲキッス,Togekiss,フェアリー,ひこう,85,50,95,120,115,80,はりきり,てんのめぐみ,*きょううん
446,ゴンベ,ゴンベ,Munchlax,ノーマル,,135,85,40,40,85,5,ものひろい,あついしぼう,*くいしんぼう
143,カビゴン,カビゴン,Snorlax,ノーマル,,160,110,65,65,110,30,めんえき,あついしぼう,*くいしんぼう
546,モンメン,モンメン,Cottonee,くさ,フェアリー,40,27,60,37,50,66,いたずらごころ,すりぬけ,*ようりょくそ
547,エルフーン,エルフーン,Whimsicott,くさ,フェアリー,60,67,85,77,75,116,いたずらごころ,すりぬけ,*ようりょくそ
111,サイホーン,サイホーン,Rhyhorn,じめん,いわ,80,85,95,30,30,25,ひらいしん,いしあたま,*すてみ
112,サイドン,サイドン,Rhydon,じめん,いわ,105,130,120,45,45,40,ひらいしん,いしあたま,*すてみ
464,ドサイドン,ドサイドン,Rhyperior,じめん,いわ,115,140,130,55,55,40,ひらいしん,ハードロック,*すてみ
574,ゴチム,ゴチム,Gothita,エスパー,,45,30,50,55,65,45,おみとおし,かちき,*かげふみ
575,ゴチミル,ゴチミル,Gothorita,エスパー,,60,45,70,75,85,55,おみとおし,かちき,*かげふみ
576,ゴチルゼル,ゴチルゼル,Gothitelle,エスパー,,70,55,95,95,110,65,おみとおし,かちき,*かげふみ
577,ユニラン,ユニラン,Solosis,エスパー,,45,30,40,105,50,20,ぼうじん,マジックガード,*さいせいりょく
578,ダブラン,ダブラン,Duosion,エスパー,,65,40,50,125,60,30,ぼうじん,マジックガード,*さいせいりょく
579,ランクルス,ランクルス,Reuniclus,エスパー,,110,65,75,125,85,30,ぼうじん,マジックガード,*さいせいりょく
588,カブルモ,カブルモ,Karrablast,むし,,50,75,45,40,45,60,むしのしらせ,だっぴ,*ノーガード
589,シュバルゴ,シュバルゴ,Escavalier,むし,はがね,70,135,105,60,105,20,むしのしらせ,シェルアーマー,*ぼうじん
616,チョボマキ,チョボマキ,Shelmet,むし,,50,40,85,40,65,25,うるおいボディ,シェルアーマー,*ぼうじん
617,アギルダー,アギルダー,Accelgor,むし,,80,70,40,100,60,145,うるおいボディ,ねんちゃく,*かるわざ
605,リグレー,リグレー,Elgyem,エスパー,,55,55,55,85,55,30,テレパシー,シンクロ,*アナライズ
606,オーベム,オーベム,Beheeyem,エスパー,,75,75,75,125,95,40,テレパシー,シンクロ,*アナライズ
613,クマシュン,クマシュン,Cubchoo,こおり,,55,70,40,60,40,40,ゆきがくれ,ゆきかき,*びびり
614,ツンベアー,ツンベアー,Beartic,こおり,,95,130,80,70,80,50,ゆきがくれ,ゆきかき,*すいすい
627,ワシボン,ワシボン,Rufflet,ノーマル,ひこう,70,83,50,37,50,60,するどいめ,ちからずく,*はりきり
628,ウォーグル,ウォーグル,Braviary,ノーマル,ひこう,100,123,75,57,75,80,するどいめ,ちからずく,*まけんき
629,バルチャイ,バルチャイ,Vullaby,あく,ひこう,70,55,75,45,65,60,はとむね,ぼうじん,*くだけるよろい
630,バルジーナ,バルジーナ,Mandibuzz,あく,ひこう,110,65,105,55,95,80,はとむね,ぼうじん,*くだけるよろい
451,スコルピ,スコルピ,Skorupi,どく,むし,40,50,90,30,55,65,カブトアーマー,スナイパー,*するどいめ
452,ドラピオン,ドラピオン,Drapion,どく,あく,70,90,110,60,75,95,カブトアーマー,スナイパー,*するどいめ
607,ヒトモシ,ヒトモシ,Litwick,ゴースト,ほのお,50,30,55,65,55,20,もらいび,ほのおのからだ,*すりぬけ
608,ランプラー,ランプラー,Lampent,ゴースト,ほのお,60,40,60,95,60,55,もらいび,ほのおのからだ,*すりぬけ
609,シャンデラ,シャンデラ,Chandelure,ゴースト,ほのお,60,55,90,145,90,80,もらいび,ほのおのからだ,*すりぬけ
686,マーイーカ,マーイーカ,Inkay,あく,エスパー,53,54,53,37,46,45,あまのじゃく,きゅうばん,*すりぬけ
687,カラマネロ,カラマネロ,Malamar,あく,エスパー,86,92,88,68,75,73,あまのじゃく,きゅうばん,*すりぬけ
215,ニューラ,ニューラ,Sneasel,あく,こおり,55,95,55,35,75,115,せいしんりょく,するどいめ,*わるいてぐせ
461,マニューラ,マニューラ,Weavile,あく,こおり,70,120,65,45,85,125,プレッシャー,,*わるいてぐせ
302,ヤミラミ,ヤミラミ,Sableye,あく,ゴースト,50,75,75,65,65,50,するどいめ,あとだし,*いたずらごころ
303,クチート,クチート,Mawile,はがね,フェアリー,50,85,85,55,55,50,かいりきバサミ,いかく,*ちからずく
556,マラカッチ,マラカッチ,Maractus,くさ,,75,86,67,106,67,60,ちょすい,ようりょくそ,*よびみず
561,シンボラー,シンボラー,Sigilyph,エスパー,ひこう,72,58,80,103,80,97,ミラクルスキン,マジックガード,*いろめがね
447,リオル,リオル,Riolu,かくとう,,40,70,40,35,40,60,ふくつのこころ,せいしんりょく,*いたずらごころ
448,ルカリオ,ルカリオ,Lucario,かくとう,はがね,70,110,70,115,70,90,ふくつのこころ,せいしんりょく,*せいぎのこころ
324,コータス,コータス,Torkoal,ほのお,,70,85,140,85,70,20,しろいけむり,ひでり,*シェルアーマー
778,ミミッキュ,ミミッキュ,Mimikyu,ゴースト,フェアリー,55,90,80,50,105,96,ばけのかわ,,
878,ゾウドウ,ゾウドウ,Cufant,はがね,,72,80,49,40,49,40,ちからずく,,*ヘヴィメタル
879,ダイオウドウ,ダイオウドウ,Copperajah,はがね,,122,130,69,80,69,30,ちからずく,,*ヘヴィメタル
211,ハリーセン,ハリーセン,Qwilfish,みず,どく,65,95,85,55,55,85,どくのトゲ,すいすい,*いかく
592,プルリル,プルリル,Frillish,みず,ゴースト,55,40,50,65,85,40,ちょすい,のろわれボディ,*しめりけ
593,ブルンゲル,ブルンゲル,Jellicent,みず,ゴースト,100,60,70,85,105,60,ちょすい,のろわれボディ,*しめりけ
747,ヒドイデ,ヒドイデ,Mareanie,どく,みず,50,53,62,43,52,45,ひとでなし,じゅうなん,*さいせいりょく
748,ドヒドイデ,ドヒドイデ,Toxapex,どく,みず,50,63,152,53,142,35,ひとでなし,じゅうなん,*さいせいりょく
845,ウッウ,ウッウ,Cramorant,ひこう,みず,70,85,55,85,95,85,うのミサイル,,
848,エレズン,エレズン,Toxel,でんき,どく,40,38,35,54,35,40,びびり,せいでんき,*ぶきよう
849,ストリンダー,ストリンダー(ハイなすがた),Toxtricity,でんき,どく,75,98,70,114,70,75,パンクロック,プラス,*テクニシャン
849,ストリンダー,ストリンダー(ローなすがた),Toxtricity,でんき,どく,75,98,70,114,70,75,パンクロック,マイナス,*テクニシャン
843,スナヘビ,スナヘビ,Silicobra,じめん,,52,57,75,35,50,46,すなはき,だっぴ,*すながくれ
844,サダイジャ,サダイジャ,Sandaconda,じめん,,72,107,125,65,70,71,すなはき,だっぴ,*すながくれ
449,ヒポポタス,ヒポポタス,Hippopotas,じめん,,68,72,78,38,42,32,すなおこし,,*すなのちから
450,カバルドン,カバルドン,Hippowdon,じめん,,108,112,118,68,72,47,すなおこし,,*すなのちから
632,アイアント,アイアント,Durant,むし,はがね,58,109,112,48,48,109,むしのしらせ,はりきり,*なまけ
631,クイタラン,クイタラン,Heatmor,ほのお,,85,97,66,105,66,65,くいしんぼう,もらいび,*しろいけむり
694,エリキテル,エリキテル,Helioptile,でんき,ノーマル,44,38,33,61,43,70,かんそうはだ,すながくれ,*サンパワー
695,エレザード,エレザード,Heliolisk,でんき,ノーマル,62,55,52,109,94,109,かんそうはだ,すながくれ,*サンパワー
701,ルチャブル,ルチャブル,Hawlucha,かくとう,ひこう,78,92,75,74,63,118,じゅうなん,かるわざ,*かたやぶり
328,ナックラー,ナックラー,Trapinch,じめん,,45,100,45,45,45,10,かいりきバサミ,ありじごく,*ちからずく
329,ビブラーバ,ビブラーバ,Vibrava,じめん,ドラゴン,50,70,50,50,50,70,ふゆう,,
330,フライゴン,フライゴン,Flygon,じめん,ドラゴン,80,100,80,80,80,100,ふゆう,,
610,キバゴ,キバゴ,Axew,ドラゴン,,46,87,60,30,40,57,とうそうしん,かたやぶり,*きんちょうかん
611,オノンド,オノンド,Fraxure,ドラゴン,,66,117,70,40,50,67,とうそうしん,かたやぶり,*きんちょうかん
612,オノノクス,オノノクス,Haxorus,ドラゴン,,76,147,90,60,70,97,とうそうしん,かたやぶり,*きんちょうかん
562,デスマス,デスマス(通常),Yamask,ゴースト,,38,30,85,55,65,30,ミイラ,,
562,デスマス,デスマス(ガラルのすがた),Yamask,じめん,ゴースト,38,55,85,30,65,30,さまようたましい,,
867,デスバーン,デスバーン,Runerigus,じめん,ゴースト,58,95,145,50,105,30,さまようたましい,,
563,デスカーン,デスカーン,Cofagrigus,ゴースト,,58,50,145,95,105,30,ミイラ,,
679,ヒトツキ,ヒトツキ,Honedge,はがね,ゴースト,45,80,100,35,37,28,ノーガード,,
680,ニダンギル,ニダンギル,Doublade,はがね,ゴースト,59,110,150,45,49,35,ノーガード,,
681,ギルガルド,ギルガルド(シールドフォルム),Aegislash,はがね,ゴースト,60,50,140,50,140,60,バトルスイッチ,,
681,ギルガルド,ギルガルド(ブレードフォルム),Aegislash,はがね,ゴースト,60,140,50,140,50,60,バトルスイッチ,,
77,ポニータ,ポニータ(ガラルのすがた),Ponyta,エスパー,,50,85,55,65,65,90,にげあし,パステルベール,*きけんよち
78,ギャロップ,ギャロップ(ガラルのすがた),Rapidash,エスパー,フェアリー,65,100,70,80,80,105,にげあし,パステルベール,*きけんよち
854,ヤバチャ,ヤバチャ,Sinistea,ゴースト,,40,45,45,74,54,50,くだけるよろい,,*のろわれボディ
855,ポットデス,ポットデス,Polteageist,ゴースト,,60,65,65,134,114,70,くだけるよろい,,*のろわれボディ
876,イエッサン,イエッサン(オスのすがた),Indeedee,エスパー,ノーマル,60,65,55,105,95,95,せいしんりょく,シンクロ,*サイコメイカー
876,イエッサン,イエッサン(メスのすがた),Indeedee,エスパー,ノーマル,70,55,65,95,105,85,マイペース,シンクロ,*サイコメイカー
708,ボクレー,ボクレー,Phantump,ゴースト,くさ,43,70,48,50,60,38,しぜんかいふく,おみとおし,*しゅうかく
709,オーロット,オーロット,Trevenant,ゴースト,くさ,85,110,76,65,82,56,しぜんかいふく,おみとおし,*しゅうかく
755,ネマシュ,ネマシュ,Morelull,くさ,フェアリー,40,35,55,65,75,15,はっこう,ほうし,*あめうけざら
756,マシェード,マシェード,Shiinotic,くさ,フェアリー,60,45,80,90,100,30,はっこう,ほうし,*あめうけざら
765,ヤレユータン,ヤレユータン,Oranguru,ノーマル,エスパー,90,60,80,90,110,60,せいしんりょく,テレパシー,*きょうせい
766,ナゲツケサル,ナゲツケサル,Passimian,かくとう,,100,120,90,40,60,80,レシーバー,,*まけんき
877,モルペコ,モルペコ,Morpeko,でんき,あく,58,95,58,70,58,97,はらぺこスイッチ,,
870,タイレーツ,タイレーツ,Falinks,かくとう,,65,100,100,70,60,75,カブトアーマー,,*まけんき
780,ジジーロン,ジジーロン,Drampa,ノーマル,ドラゴン,78,60,85,135,91,36,ぎゃくじょう,そうしょく,*ノーてんき
776,バクガメス,バクガメス,Turtonator,ほのお,ドラゴン,60,78,135,91,85,36,シェルアーマー,,
777,トゲデマル,トゲデマル,Togedemaru,でんき,はがね,65,98,63,40,73,96,てつのトゲ,ひらいしん,*がんじょう
872,ユキハミ,ユキハミ,Snom,こおり,むし,30,25,35,45,30,20,りんぷん,,*こおりのりんぷん
873,モスノウ,モスノウ,Frosmoth,こおり,むし,70,65,60,125,90,65,りんぷん,,*こおりのりんぷん
852,タタッコ,タタッコ,Clobbopus,かくとう,,50,68,60,50,50,32,じゅうなん,,*テクニシャン
853,オトスパス,オトスパス,Grapploct,かくとう,,80,118,90,70,80,42,じゅうなん,,*テクニシャン
871,バチンウニ,バチンウニ,Pincurchin,でんき,,48,101,95,91,85,15,ひらいしん,,*エレキメイカー
458,タマンタ,タマンタ,Mantyke,みず,ひこう,45,20,50,60,120,50,すいすい,ちょすい,*みずのベール
226,マンタイン,マンタイン,Mantine,みず,ひこう,85,40,70,80,140,70,すいすい,ちょすい,*みずのベール
320,ホエルコ,ホエルコ,Wailmer,みず,,130,70,35,70,35,60,みずのベール,どんかん,*プレッシャー
321,ホエルオー,ホエルオー,Wailord,みず,,170,90,45,90,45,60,みずのベール,どんかん,*プレッシャー
712,カチコール,カチコール,Bergmite,こおり,,55,69,85,32,35,28,マイペース,アイスボディ,*がんじょう
713,クレベース,クレベース,Avalugg,こおり,,95,117,184,44,46,28,マイペース,アイスボディ,*がんじょう
781,ダダリン,ダダリン,Dhelmise,ゴースト,くさ,70,131,100,86,90,40,はがねつかい,,
131,ラプラス,ラプラス,Lapras,みず,こおり,130,85,80,85,95,60,ちょすい,シェルアーマー,*うるおいボディ
337,ルナトーン,ルナトーン,Lunatone,いわ,エスパー,90,55,65,95,85,70,ふゆう,,
338,ソルロック,ソルロック,Solrock,いわ,エスパー,90,95,85,55,65,70,ふゆう,,
439,マネネ,マネネ,Mime Jr.,エスパー,フェアリー,20,25,45,70,90,60,ぼうおん,フィルター,*テクニシャン
122,バリヤード,バリヤード(通常),Mr. Mime,エスパー,フェアリー,40,45,65,100,120,90,ぼうおん,フィルター,*テクニシャン
122,バリヤード,バリヤード(ガラルのすがた),Mr. Mime,こおり,エスパー,50,65,65,90,90,100,やるき,バリアフリー,*アイスボディ
866,バリコオル,バリコオル,Mr. Rime,こおり,エスパー,80,85,75,110,100,70,ちどりあし,バリアフリー,*アイスボディ
554,ダルマッカ,ダルマッカ(ガラルのすがた),Darumaka,こおり,,70,90,45,15,45,50,はりきり,,*せいしんりょく
555,ヒヒダルマ,ヒヒダルマ(ガラルのすがた),Darmanitan,こおり,,105,140,55,30,55,95,ごりむちゅう,,*ダルマモード
555,ヒヒダルマ,ヒヒダルマ(ダルマ・ガラル),Darmanitan,こおり,ほのお,105,160,55,30,55,135,ごりむちゅう,,*ダルマモード
874,イシヘンジン,イシヘンジン,Stonjourner,いわ,,100,125,135,20,20,70,パワースポット,,
875,コオリッポ,コオリッポ(アイスフェイス),Eiscue,こおり,,75,80,110,65,90,50,アイスフェイス,,
875,コオリッポ,コオリッポ(ナイスフェイス),Eiscue,こおり,,75,80,70,65,50,130,アイスフェイス,,
884,ジュラルドン,ジュラルドン,Duraludon,はがね,ドラゴン,70,95,115,120,50,85,ライトメタル,ヘヴィメタル,*すじがねいり
479,ロトム,ロトム(基本),Rotom,でんき,ゴースト,50,50,77,95,77,91,ふゆう,,
479,ロトム,ロトム(ヒート),Rotom,でんき,ほのお,50,65,107,105,107,86,ふゆう,,
479,ロトム,ロトム(ウォッシュ),Rotom,でんき,みず,50,65,107,105,107,86,ふゆう,,
479,ロトム,ロトム(フロスト),Rotom,でんき,こおり,50,65,107,105,107,86,ふゆう,,
479,ロトム,ロトム(スピン),Rotom,でんき,ひこう,50,65,107,105,107,86,ふゆう,,
479,ロトム,ロトム(カット),Rotom,でんき,くさ,50,65,107,105,107,86,ふゆう,,
132,メタモン,メタモン,Ditto,ノーマル,,48,48,48,48,48,48,じゅうなん,,*かわりもの
880,パッチラゴン,パッチラゴン,Dracozolt,でんき,ドラゴン,90,100,90,80,70,75,ちくでん,はりきり,*すなかき
881,パッチルドン,パッチルドン,Arctozolt,でんき,こおり,90,100,90,90,80,55,ちくでん,せいでんき,*ゆきかき
882,ウオノラゴン,ウオノラゴン,Dracovish,みず,ドラゴン,90,90,100,70,80,75,ちょすい,がんじょうあご,*すなかき
883,ウオチルドン,ウオチルドン,Arctovish,みず,こおり,90,90,100,80,90,55,ちょすい,アイスボディ,*ゆきかき
4,ヒトカゲ,ヒトカゲ,Charmander,ほのお,,39,52,43,60,50,65,もうか,,*サンパワー
5,リザード,リザード,Charmeleon,ほのお,,58,64,58,80,65,80,もうか,,*サンパワー
6,リザードン,リザードン,Charizard,ほのお,ひこう,78,84,78,109,85,100,もうか,,*サンパワー
772,タイプ：ヌル,タイプ：ヌル,Type: Null,ノーマル,,95,95,95,95,95,59,カブトアーマー,,
773,シルヴァディ,シルヴァディ,Silvally,ノーマル,,95,95,95,95,95,95,ARシステム,,
246,ヨーギラス,ヨーギラス,Larvitar,いわ,じめん,50,64,50,45,50,41,こんじょう,,*すながくれ
247,サナギラス,サナギラス,Pupitar,いわ,じめん,70,84,70,65,70,51,だっぴ,,
248,バンギラス,バンギラス,Tyranitar,いわ,あく,100,134,110,95,100,61,すなおこし,,*きんちょうかん
633,モノズ,モノズ,Deino,あく,ドラゴン,52,65,50,45,50,38,はりきり,,
634,ジヘッド,ジヘッド,Zweilous,あく,ドラゴン,72,85,70,65,70,58,はりきり,,
635,サザンドラ,サザンドラ,Hydreigon,あく,ドラゴン,92,105,90,125,90,98,ふゆう,,
704,ヌメラ,ヌメラ,Goomy,ドラゴン,,45,50,35,55,75,40,そうしょく,うるおいボディ,*ぬめぬめ
705,ヌメイル,ヌメイル,Sliggoo,ドラゴン,,68,75,53,83,113,60,そうしょく,うるおいボディ,*ぬめぬめ
706,ヌメルゴン,ヌメルゴン,Goodra,ドラゴン,,90,100,70,110,150,80,そうしょく,うるおいボディ,*ぬめぬめ
782,ジャラコ,ジャラコ,Jangmo-o,ドラゴン,,45,55,65,45,45,45,ぼうだん,ぼうおん,*ぼうじん
783,ジャランゴ,ジャランゴ,Hakamo-o,ドラゴン,かくとう,55,75,90,65,70,65,ぼうだん,ぼうおん,*ぼうじん
784,ジャラランガ,ジャラランガ,Kommo-o,ドラゴン,かくとう,75,110,125,100,105,85,ぼうだん,ぼうおん,*ぼうじん
885,ドラメシヤ,ドラメシヤ,Dreepy,ドラゴン,ゴースト,28,60,30,40,30,82,クリアボディ,すりぬけ,*のろわれボディ
886,ドロンチ,ドロンチ,Drakloak,ドラゴン,ゴースト,68,80,50,60,50,102,クリアボディ,すりぬけ,*のろわれボディ
887,ドラパルト,ドラパルト,Dragapult,ドラゴン,ゴースト,88,120,75,100,75,142,クリアボディ,すりぬけ,*のろわれボディ
888,ザシアン,ザシアン(れきせんのゆうしゃ),Zacian,フェアリー,,92,130,115,80,115,138,ふとうのけん,,
888,ザシアン,ザシアン(けんのおう),Zacian,フェアリー,はがね,92,170,115,80,115,148,ふとうのけん,,
889,ザマゼンタ,ザマゼンタ(れきせんのゆうしゃ),Zamazenta,かくとう,,92,130,115,80,115,138,ふくつのたて,,
889,ザマゼンタ,ザマゼンタ(たてのおう),Zamazenta,かくとう,はがね,92,130,145,80,145,128,ふくつのたて,,
890,ムゲンダイナ,ムゲンダイナ(通常),Eternatus,どく,ドラゴン,140,85,95,145,95,130,プレッシャー,,
890,ムゲンダイナ,ムゲンダイナ(ムゲンダイマックス),Eternatus,どく,ドラゴン,255,115,250,125,250,130,プレッシャー,,
1,フシギダネ,フシギダネ,Bulbasaur,くさ,どく,45,49,49,65,65,45,しんりょく,,*ようりょくそ
2,フシギソウ,フシギソウ,Ivysaur,くさ,どく,60,62,63,80,80,60,しんりょく,,*ようりょくそ
3,フシギバナ,フシギバナ,Venusaur,くさ,どく,80,82,83,100,100,80,しんりょく,,*ようりょくそ
7,ゼニガメ,ゼニガメ,Squirtle,みず,,44,48,65,50,64,43,げきりゅう,,*あめうけざら
8,カメール,カメール,Wartortle,みず,,59,63,80,65,80,58,げきりゅう,,*あめうけざら
9,カメックス,カメックス,Blastoise,みず,,79,83,100,85,105,78,げきりゅう,,*あめうけざら
13,ビードル,ビードル,Weedle,むし,どく,40,35,30,20,20,50,りんぷん,,*にげあし
14,コクーン,コクーン,Kakuna,むし,どく,45,25,50,25,25,35,だっぴ,,
15,スピアー,スピアー,Beedrill,むし,どく,65,90,40,45,80,75,むしのしらせ,,*スナイパー
16,ポッポ,ポッポ,Pidgey,ノーマル,ひこう,40,45,40,35,35,56,するどいめ,ちどりあし,*はとむね
17,ピジョン,ピジョン,Pidgeotto,ノーマル,ひこう,63,60,55,50,50,71,するどいめ,ちどりあし,*はとむね
18,ピジョット,ピジョット,Pidgeot,ノーマル,ひこう,83,80,75,70,70,101,するどいめ,ちどりあし,*はとむね
19,コラッタ,コラッタ(通常),Rattata,ノーマル,,30,56,35,25,35,72,にげあし,こんじょう,*はりきり
19,コラッタ,コラッタ(アローラのすがた),Rattata,あく,ノーマル,30,56,35,25,35,72,くいしんぼう,はりきり,*あついしぼう
20,ラッタ,ラッタ(通常),Raticate,ノーマル,,55,81,60,50,70,97,にげあし,こんじょう,*はりきり
20,ラッタ,ラッタ(アローラのすがた),Raticate,あく,ノーマル,75,71,70,40,80,77,くいしんぼう,はりきり,*あついしぼう
21,オニスズメ,オニスズメ,Spearow,ノーマル,ひこう,40,60,30,31,31,70,するどいめ,,*スナイパー
22,オニドリル,オニドリル,Fearow,ノーマル,ひこう,65,90,65,61,61,100,するどいめ,,*スナイパー
23,アーボ,アーボ,Ekans,どく,,35,60,44,40,54,55,いかく,だっぴ,*きんちょうかん
24,アーボック,アーボック,Arbok,どく,,60,95(第6世代は85),69,65,79,80,いかく,だっぴ,*きんちょうかん
26,ライチュウ,ライチュウ(アローラのすがた),Raichu,でんき,エスパー,60,85,50,95,85,110,サーフテール,,
27,サンド,サンド(通常),Sandshrew,じめん,,50,75,85,20,30,40,すながくれ,,*すなかき
27,サンド,サンド(アローラのすがた),Sandshrew,こおり,はがね,50,75,90,10,35,40,ゆきがくれ,,*ゆきかき
28,サンドパン,サンドパン(通常),Sandslash,じめん,,75,100,110,45,55,65,すながくれ,,*すなかき
28,サンドパン,サンドパン(アローラのすがた),Sandslash,こおり,はがね,75,100,120,25,65,65,ゆきがくれ,,*ゆきかき
29,ニドラン♀,ニドラン♀,Nidoran♀,どく,,55,47,52,40,40,41,どくのトゲ,とうそうしん,*はりきり
30,ニドリーナ,ニドリーナ,Nidorina,どく,,70,62,67,55,55,56,どくのトゲ,とうそうしん,*はりきり
31,ニドクイン,ニドクイン,Nidoqueen,どく,じめん,90,92,87,75,85,76,どくのトゲ,とうそうしん,*ちからずく
32,ニドラン♂,ニドラン♂,Nidoran♂,どく,,46,57,40,40,40,50,どくのトゲ,とうそうしん,*はりきり
33,ニドリーノ,ニドリーノ,Nidorino,どく,,61,72,57,55,55,65,どくのトゲ,とうそうしん,*はりきり
34,ニドキング,ニドキング,Nidoking,どく,じめん,81,102,77,85,75,85,どくのトゲ,とうそうしん,*ちからずく
